frame,tsec,S,elbow_L,elbow_R,wristflex_L,wristflex_R,line_off_L,line_off_R,wristdrop_L,wristdrop_R,chintuck_deg,torso_tilt_deg,reach_L,reach_R,guard_ok_L,guard_ok_R,punch_arm
84,2.8000,245.435,1.86,31.42,78.71,19.37,0.0129,1.1364,0.2109,0.5741,171.26,125.10,139.94,122.36,0,0,L
85,2.8333,247.485,1.53,29.01,84.33,8.58,0.0210,0.9531,0.1433,0.6363,170.67,126.25,128.19,89.26,0,0,L
86,2.8667,319.518,101.55,33.11,13.04,19.74,0.0822,0.2005,0.0293,0.8248,151.48,131.99,206.81,21.17,0,0,L
87,2.9000,329.650,53.83,17.98,24.80,5.35,0.2212,0.1225,0.0325,0.7135,152.04,134.84,175.97,50.89,0,0,L
88,2.9333,337.197,14.77,57.63,134.52,11.64,0.0138,0.2280,0.2667,0.7935,153.81,138.45,153.68,43.31,0,0,L
89,2.9667,335.114,28.85,89.18,119.92,34.28,0.0172,0.4163,0.3072,1.0189,157.72,135.22,151.59,3.17,0,0,L
90,3.0000,322.338,42.90,86.24,2.05,18.75,0.3513,0.4693,0.0878,1.0607,163.65,134.15,160.63,18.70,0,0,L
91,3.0333,312.435,50.20,99.53,1.45,20.75,0.5334,0.5235,0.0479,1.3028,166.80,133.61,181.96,67.71,0,0,L
92,3.0667,271.496,49.33,85.83,4.77,30.56,0.5983,0.7363,0.0129,1.2616,170.77,133.42,163.67,179.30,0,0,R
93,3.1000,175.842,43.20,87.39,15.02,40.53,1.0054,1.1875,0.0863,1.4917,163.18,132.64,155.53,312.35,0,0,R
94,3.1333,171.206,48.58,103.26,24.68,32.51,0.9114,1.0823,0.0384,1.2015,153.99,133.14,171.47,438.19,0,0,R
95,3.1667,158.936,64.29,91.14,62.86,13.55,0.5414,1.1695,0.6528,0.4716,156.70,133.74,187.96,407.15,0,0,R
96,3.2000,107.048,69.44,87.85,72.54,32.00,1.1858,1.8693,0.4471,0.3376,156.38,134.22,220.85,404.36,0,0,R
97,3.2333,78.845,72.71,87.85,37.27,35.22,1.9302,2.6587,0.3743,0.7714,155.69,132.91,246.26,406.20,0,0,R
98,3.2667,57.459,60.35,82.68,22.59,41.18,2.9435,3.4884,0.8776,0.1242,151.46,130.29,208.78,355.37,0,0,R
99,3.3000,89.852,63.56,83.30,26.77,55.08,1.5995,2.5100,0.7388,1.2045,153.59,129.23,199.63,392.81,0,0,R
100,3.3333,170.303,48.97,91.27,6.23,44.84,0.9892,1.3186,0.3303,1.3721,163.88,128.85,181.23,396.82,0,0,R
101,3.3667,226.677,46.71,86.02,22.83,43.73,0.5553,0.9974,0.4527,1.1888,172.97,127.71,138.50,331.04,0,0,R
102,3.4000,269.983,48.32,77.65,22.69,28.63,0.2781,0.8660,0.5791,0.9438,179.04,126.34,110.95,287.54,0,0,R
103,3.4333,282.917,50.51,82.99,21.07,20.80,0.2986,0.7947,0.5150,1.0208,178.96,124.57,121.79,288.69,0,0,R
104,3.4667,289.817,44.65,72.01,4.10,19.90,0.3101,0.8662,0.4712,0.8995,175.61,128.49,111.58,267.49,0,0,R
105,3.5000,308.447,41.60,69.95,8.25,20.71,0.4634,0.7661,0.3756,0.7949,170.22,131.85,140.61,252.53,0,0,R
106,3.5333,317.424,39.72,61.83,2.42,23.96,0.4846,0.7652,0.3376,0.7623,166.86,135.18,144.37,217.77,0,0,R
107,3.5667,326.587,43.27,53.41,25.62,16.70,0.4458,0.7451,0.3403,0.7277,164.63,138.04,151.48,178.11,0,0,R
108,3.6000,339.189,26.79,48.50,4.85,12.60,0.3132,0.7404,0.3456,0.6862,160.88,139.85,112.48,159.30,0,0,R
109,3.6333,344.602,25.05,43.26,8.89,9.89,0.2817,0.6738,0.3692,0.6889,157.47,141.81,116.39,120.12,0,0,R
