frame,time_s,violations,L_is_punch,R_is_punch,L_wrist_mouth_span_ema,R_wrist_mouth_span_ema,L_vel,R_vel,L_elbow_deg,R_elbow_deg
35,1.1666666666666667,,0,0,2.3374663090392453,2.037021344060732,0.004381552451314885,0.000779116097583632,165.06298678029276,168.1129482492102
36,1.2,,0,0,2.3407400777843304,2.036835369047642,0.003273768745085004,-0.00018597501308992292,165.38771980699744,167.88128561544713
37,1.2333333333333334,,0,0,2.343146606037269,2.0369208342560525,0.0024065282529388554,8.546520841035132e-05,165.6658579466789,167.83193242304864
38,1.2666666666666666,,0,0,2.3447287578636917,2.037581968888546,0.0015821518264225176,0.0006611346324936207,165.91504551185386,167.80414454033598
39,1.3,,0,0,2.3458330007546064,2.03778886022598,0.0011042428909147084,0.000206891337434012,166.07189306215477,167.8455821940013
40,1.3333333333333333,,0,0,2.348837241386435,2.04106678036524,0.00300424063182847,0.003277920139259649,166.04663262254272,168.0869961041632
41,1.3666666666666667,,0,0,2.3524732020394126,2.0449110488145728,0.0036359606529776656,0.0038442684493329438,166.0231418314888,168.07788385216554
42,1.4,,0,0,2.3566378271938877,2.0496622424136697,0.004164625154475132,0.004751193599096926,165.71136645776966,168.1662863751851
43,1.4333333333333333,,0,0,2.3603683713464245,2.0546223187833426,0.003730544152536819,0.004960076369672883,165.39178148782742,168.17086686513133
44,1.4666666666666666,,0,0,2.3633092225426977,2.059329152268747,0.0029408511962731865,0.004706833485404349,165.34964786133068,168.18872248045167
45,1.5,,0,0,2.3644902696362413,2.062222145908241,0.001181047093543608,0.0028929936394939126,165.4508548851886,168.1878215603807
