frame,time_s,L_elbow_deg,R_elbow_deg,L_wrist_face_px,R_wrist_face_px,dL_elbow_deg_dt,dR_elbow_deg_dt,dR_wrist_face_px_dt,dL_wrist_face_px_dt,d2L_elbow_deg_dt2,d2R_elbow_deg_dt2,d2L_wrist_face_px_dt2,d2R_wrist_face_px_dt2,L_shoulder_wrist_px,R_shoulder_wrist_px,L_ratio_wf_over_sw,R_ratio_wf_over_sw
20,0.6666666666666666,103.34743615131521,44.465720752471746,319.57159423828125,464.30291748046875,-560.8465913251915,-18.500825242718015,-1544.93408203125,-1555.6787109375,4423.47169435541,4759.265959831269,11613.75732421875,-29569.22149658203,309.1889963613281,255.46518044335937,1.0335801014885397,1.8174802400650916
21,0.7,93.95760964323806,46.426494446153384,283.01678466796875,379.48236083984375,-295.9844480529026,189.98442332875985,-2678.125762939453,-981.1848449707031,5447.811746954871,9344.670594894324,12494.93637084961,-15012.48779296875,273.99481301171875,239.29387001855468,1.0329275271932397,1.585842382048562
22,0.7333333333333333,83.61513961445503,57.13134897438907,254.15927124023438,285.7611999511719,-197.65914152820017,604.4772144169035,-2545.7666015625,-722.6829528808594,4564.186734110824,11198.781123063292,8875.813293457031,23787.05177307129,246.02276711328125,249.82009987695312,1.033072159225031,1.1438679277284785
23,0.7666666666666666,80.78033354135805,86.72497540728028,234.83792114257812,209.76458740234375,8.294667554485642,936.5698315329793,-1092.3223114013672,-389.4639587402344,4954.110330984941,2195.698815962793,9042.69905090332,44430.80177307129,228.9739542470703,308.4884043203125,1.0256097551129348,0.6799755986436984
24,0.8,84.16811745142074,119.56933774325435,228.19500732421875,212.93971252441406,132.61488053746257,750.8571354810897,416.28684997558594,-119.83634948730469,1441.70075516423,-10030.791315746541,4587.612533569336,20951.44271850586,225.29388527734375,384.69659523828125,1.0128770563093785,0.5535263767866703
25,0.8333333333333334,89.62132557718888,136.78211777268626,226.8488311767578,237.5170440673828,104.40805123210097,267.85041048320994,304.44053649902344,-83.62312316894531,-2842.0053526797233,-14622.079567209415,-1063.6688232421875,-10629.214096069336,230.4173593984375,432.34649758203125,0.9845127631399118,0.5493673370681522
26,0.8666666666666667,91.12865420022747,137.42603177546835,222.62013244628906,233.23574829101562,-56.852142974519,-223.94816899953804,-292.3274230957031,-190.7476043701172,-6159.470757268292,-11943.39329500238,-1302.3399353027344,-9666.334533691406,225.84660439355468,437.320069359375,0.9857138788695567,0.5333296243016697
27,0.9,85.83118271222095,121.85223983938373,214.13232421875,218.02854919433594,-306.2233325857851,-528.3758091836154,-339.9817657470703,-170.44578552246094,-3909.5644453027066,-5250.86134021081,2833.5628509521484,1776.4686584472656,211.79437355859375,422.67901711328125,1.0110387760584654,0.5158253435038688
28,0.9333333333333333,70.71376536117513,102.20097782989399,211.257080078125,210.57029724121094,-317.4897726613661,-574.0055916802587,-173.89617919921875,-1.843414306640625,883.1058751846716,250.09845604948993,4200.9521484375,9250.01449584961,195.91180519921875,408.6659250722656,1.0783274640509894,0.5152626737939434
29,0.9666666666666667,64.66519786812988,83.58520039403315,214.00942993164062,206.4354705810547,-247.34960757347366,-511.70257878031606,276.6858673095703,109.61769104003906,6218.3757524436205,3015.033805587169,-2464.731216430664,15466.947555541992,190.72959999902343,366.47705178125,1.1220567228827427,0.5632971275491376
