frame,tsec,S,elbow_L,elbow_R,wristflex_L,wristflex_R,line_off_L,line_off_R,wristdrop_L,wristdrop_R,chintuck_deg,torso_tilt_deg,reach_L,reach_R,guard_ok_L,guard_ok_R,punch_arm
84,2.8144,86.192,56.23,53.32,18.38,10.20,0.1885,1.6103,0.4586,0.9669,171.94,119.85,87.70,112.05,0,0,R
85,2.8479,108.775,47.47,45.77,1.76,18.30,0.5147,1.2307,0.3276,0.9071,178.46,122.01,70.52,72.40,0,0,R
86,2.8814,114.450,144.05,39.13,5.86,12.99,0.1474,1.1095,0.0604,0.8247,178.87,118.96,104.51,53.16,0,0,L
87,2.9149,113.348,171.52,34.62,2.85,19.95,0.0476,1.1743,0.2972,0.6902,177.73,118.99,145.34,54.67,0,0,L
88,2.9484,119.497,163.27,34.23,9.32,9.55,0.0705,1.0717,0.3590,0.6048,176.38,121.63,121.53,54.71,0,0,L
89,2.9819,115.195,170.08,34.35,125.73,12.30,0.0228,1.0424,0.2049,0.6188,175.85,124.31,108.49,51.53,0,0,L
90,3.0154,105.908,9.83,31.62,71.98,1.19,0.0040,1.1233,0.1403,0.6350,174.39,127.66,80.37,44.28,0,0,L
91,3.0489,126.659,14.49,29.51,3.40,7.74,0.1808,0.5491,0.0852,0.7104,154.32,133.85,55.16,10.87,0,0,L
92,3.0824,130.896,14.17,29.68,23.23,10.08,0.0470,0.4872,0.1041,0.6816,159.20,132.39,79.81,4.10,0,0,L
93,3.1159,134.942,22.35,16.43,8.41,7.82,0.0743,0.1594,0.2436,0.6901,160.77,132.93,70.71,31.74,0,0,L
94,3.1494,141.309,74.56,70.72,5.48,32.94,0.0384,0.5093,0.2667,0.9405,161.00,131.36,81.01,2.11,0,0,L
95,3.1829,141.322,164.50,85.86,5.29,28.36,0.0412,0.4724,0.3491,1.0467,165.83,126.61,86.46,3.21,0,0,L
96,3.2164,138.592,150.95,85.88,57.52,22.48,0.0583,0.5152,0.2322,1.0819,169.66,125.49,88.22,0.48,0,0,L
97,3.2499,134.237,75.75,87.20,14.53,26.58,0.3766,0.6221,0.0275,1.2363,175.56,125.09,89.49,13.68,0,0,L
98,3.2834,106.889,75.50,79.11,6.49,24.51,0.4494,0.8682,0.1404,1.4395,175.03,128.97,79.12,42.62,0,0,L
99,3.3169,61.752,81.45,60.62,6.25,31.81,0.8129,1.3776,0.2946,0.6670,156.61,134.05,87.81,101.11,0,0,R
100,3.3504,76.177,79.12,75.62,5.13,24.15,0.6239,1.2872,0.3284,0.8113,153.77,132.51,88.97,143.59,0,0,R
101,3.3839,67.282,76.31,80.55,21.27,16.31,0.8722,1.4389,0.7653,0.5552,153.09,132.89,94.13,163.22,0,0,R
102,3.4174,46.406,75.76,76.88,15.13,37.06,1.2977,2.2278,0.7981,0.2481,151.62,132.75,102.62,166.71,0,0,R
103,3.4509,36.510,78.05,76.78,12.01,31.61,1.7432,2.8238,0.8270,0.3876,150.64,131.54,105.72,163.54,0,0,R
104,3.4844,36.197,55.79,75.77,16.96,42.09,1.9596,2.6135,0.9689,0.4137,146.41,128.37,85.63,147.12,0,0,R
105,3.5179,42.907,57.00,70.68,23.89,34.28,1.7689,2.3445,1.0791,1.1452,147.41,126.82,80.71,139.63,0,0,R
106,3.5515,56.117,57.94,70.56,15.31,35.68,1.3346,2.0698,0.7873,1.6142,151.53,124.81,75.79,137.15,0,0,R
107,3.5850,72.902,52.73,63.90,8.12,26.96,1.0797,1.6725,0.4050,1.1740,156.06,124.06,77.22,126.47,0,0,R
108,3.6185,85.612,46.23,52.67,8.87,28.91,0.9776,1.5758,0.2229,0.7538,165.05,126.14,73.04,117.06,0,0,R
109,3.6520,107.085,46.01,48.11,4.82,21.49,0.8021,1.2398,0.0529,0.5211,175.54,127.46,76.42,105.66,0,0,R
